Data;value
2012-04-01;164.077556
2012-04-02;151.492692
2012-04-03;145.061413
2012-04-04;162.058654
2012-04-05;167.481781
2012-04-06;136.233038
2012-04-07;150.872633
2012-04-08;62.51
2012-04-09;58.122366
2012-04-10;165.478516
2012-04-11;148.935688
2012-04-12;142.1481
2012-04-13;149.527929
2012-04-14;145.634549
2012-04-15;122.909957
2012-04-16;158.274407
2012-04-17;142.963961
2012-04-18;140.125029
2012-04-19;152.251621
2012-04-20;151.974044
2012-04-21;112.929587
2012-04-22;99.911781
2012-04-23;135.616046
2012-04-24;136.233097
2012-04-25;94.392313
2012-04-26;140.635331
2012-04-27;127.243458
2012-04-28;132.564019
2012-04-29;133.449597
2012-04-30;128.683681
2012-05-01;96.996336
2012-05-02;148.387259
2012-05-03;105.863756
2012-05-04;128.555279
2012-05-05;127.320926
2012-05-06;99.857326
2012-05-07;142.396297
2012-05-08;127.808053
2012-05-09;122.747834
2012-05-10;144.551293
2012-05-11;139.353087
2012-05-12;107.000951
2012-05-13;102.287143
2012-05-14;141.498113
2012-05-15;137.56298
2012-05-16;135.35323
2012-05-17;132.276559
2012-05-18;146.331104
2012-05-19;133.784843
2012-05-20;119.43
2012-05-21;164.856579
2012-05-22;139.343211
2012-05-23;147.5
2012-05-24;146.648607
2012-05-25;134.4465
2012-05-26;101.611999
2012-05-27;56.135368
2012-05-28;151.653115
2012-05-29;137.695722
2012-05-30;149.943019
2012-05-31;157.243435
2012-06-01;159.64836
2012-06-02;86.06285
2012-06-03;120.80006
2012-06-04;154.3
2012-06-05;110.01285
2012-06-06;145.968882
2012-06-07;153.371263
2012-06-08;153.478488
2012-06-09;139.699161
2012-06-10;96.927957
2012-06-11;119.72154
2012-06-12;141.788859
2012-06-13;128.716629
2012-06-14;144.269171
2012-06-15;154.572362
2012-06-16;129.86
2012-06-17;91.406137
2012-06-18;157.547271
2012-06-19;154.610473
2012-06-20;170.496133
2012-06-21;168.56735
2012-06-22;171.135514
2012-06-23;150.848414
2012-06-24;115.652591
2012-06-25;143.621708
2012-06-26;160.768139
2012-06-27;169.524646
2012-06-28;174.447236
2012-06-29;164.417651
2012-06-30;159.029748
2012-07-01;160.623
2012-07-02;172.29264
2012-07-03;163.391981
2012-07-04;173.509431
2012-07-05;162.704374
2012-07-06;159.720564
2012-07-07;138.362687
2012-07-08;127.209694
2012-07-09;153.194713
2012-07-10;162.490011
2012-07-11;165.316199
2012-07-12;170.458395
2012-07-13;160.760967
2012-07-14;148.549773
2012-07-15;130.128503
2012-07-16;148.756778
2012-07-17;155.228309
2012-07-18;134.347748
2012-07-19;161.839538
2012-07-20;155.760715
2012-07-21;144.643478
2012-07-22;124.757267
2012-07-23;137.364767
2012-07-24;155.039513
2012-07-25;162.816341
2012-07-26;169.344565
2012-07-27;154.272848
2012-07-28;143.749567
2012-07-29;118.681545
2012-07-30;160.586592
2012-07-31;172.059005
2012-08-01;172.3586
2012-08-02;165.601167
2012-08-03;172.85973
2012-08-04;170.991341
2012-08-05;150.308741
2012-08-06;148.677887
2012-08-07;142.343122
2012-08-08;149.526069
2012-08-09;148.866004
2012-08-10;145.409248
2012-08-11;146.565115
2012-08-12;147.900832
2012-08-13;148.242421
2012-08-14;139.760372
2012-08-15;146.473134
2012-08-16;148.16107
2012-08-17;153.065869
2012-08-18;140.50393
2012-08-19;140.588473
2012-08-20;144.603748
2012-08-21;149.5648
2012-08-22;159.0166
2012-08-23;146.333423
2012-08-24;152.421087
2012-08-25;143.083244
2012-08-26;137.941178
2012-08-27;160.964867
2012-08-28;171.302231
2012-08-29;161.655905
2012-08-30;152.205668
2012-08-31;169.213816
2012-09-01;142.146587
2012-09-02;150.727457
2012-09-03;177.436186
2012-09-04;150.707789
2012-09-05;161.669208
2012-09-06;159.708787
2012-09-07;156.507541
2012-09-08;146.623739
2012-09-09;154.05692
2012-09-10;161.842994
2012-09-11;157.83079
2012-09-12;158.16521
2012-09-13;157.20193
2012-09-14;150.890133
2012-09-15;133
2012-09-16;110.592318
2012-09-17;158.161745
2012-09-18;153.365205
2012-09-19;162.878575
2012-09-20;149.338597
2012-09-21;151.107941
2012-09-22;134.884072
2012-09-23;96.824321
2012-09-24;151.527749
2012-09-25;138.571118
2012-09-26;168.931636
2012-09-27;153.189601
2012-09-28;151.587436
2012-09-29;133.718137
2012-09-30;132.559112
2012-10-01;142.077838
2012-10-02;138.963273
2012-10-03;137.379652
2012-10-04;135.636688
2012-10-05;136.498164
2012-10-06;125.571253
2012-10-07;87.29825
2012-10-08;135.204888
2012-10-09;141.68332
2012-10-10;142.392221
2012-10-11;143.030473
2012-10-12;145.895901
2012-10-13;125.293687
2012-10-14;126.931057
2012-10-15;143.691493
2012-10-16;139.65262
2012-10-17;139.387274
2012-10-18;132.397007
2012-10-19;130
2012-10-20;112.554797
2012-10-21;88.112847
2012-10-22;139.228729
2012-10-23;138.352325
2012-10-24;140.941281
2012-10-25;135.78432
2012-10-26;134.445856
2012-10-27;106.797566
2012-10-28;113.344165
2012-10-29;130.978208
2012-10-30;143.456209
2012-10-31;126.175339
2012-11-01;69.741702
2012-11-02;120.964891
2012-11-03;140.752471
2012-11-04;113.666959
2012-11-05;110.696095
2012-11-06;122.108783
2012-11-07;124.950542
2012-11-08;124.498305
2012-11-09;138.817219
2012-11-10;104.630684
2012-11-11;54.752462
2012-11-12;125.96938
2012-11-13;124.215559
2012-11-14;122.799795
2012-11-15;133.292781
2012-11-16;131.015314
2012-11-17;115.424623
2012-11-18;98.308209
2012-11-19;145.667692
2012-11-20;126.532843
2012-11-21;138.601208
2012-11-22;138.970467
2012-11-23;133.804916
2012-11-24;127.718817
2012-11-25;85.801893
2012-11-26;140.588611
2012-11-27;140.141431
2012-11-28;132.34386
2012-11-29;115.37789
2012-11-30;121.260143
2012-12-01;118.343002
2012-12-02;94.093645
2012-12-03;120.153108
2012-12-04;132.672391
2012-12-05;129.050944
2012-12-06;139.170326
2012-12-07;143.06357
2012-12-08;114.044573
2012-12-09;107.253023
2012-12-10;137.102733
2012-12-11;144.966466
2012-12-12;156.177776
2012-12-13;147.589258
2012-12-14;137.596122
2012-12-15;119.239084
2012-12-16;84.439988
2012-12-17;128.304513
2012-12-18;130.59
2012-12-19;124.55032
2012-12-20;134.47023
2012-12-21;134.956324
2012-12-22;90.566237
2012-12-23;114.372451
2012-12-24;129.819217
2012-12-25;90.634983
2012-12-26;91.026088
2012-12-27;138.522956
2012-12-28;113.404078
2012-12-29;86.926854
2012-12-30;127.159703
2012-12-31;130.778964
2013-01-01;102.132378
2013-01-02;127.533744
2013-01-03;127.930252
2013-01-04;128.079341
2013-01-05;95.818446
2013-01-06;89.267396
2013-01-07;140.203728
2013-01-08;127.170262
2013-01-09;135.255541
2013-01-10;131.814301
2013-01-11;126.547213
2013-01-12;112.485136
2013-01-13;99.15484
2013-01-14;134.828516
2013-01-15;135.508411
2013-01-16;122.827339
2013-01-17;150.185531
2013-01-18;142.091433
2013-01-19;126.28
2013-01-20;101.479913
2013-01-21;131.645575
2013-01-22;111.905381
2013-01-23;139.299164
2013-01-24;143.732932
2013-01-25;136.926939
2013-01-26;117.559327
2013-01-27;93.563074
2013-01-28;129.420125
2013-01-29;127.897737
2013-01-30;119.398993
2013-01-31;126.846554
2013-02-01;117.414908
2013-02-02;90.095424
2013-02-03;81.019153
2013-02-04;122.22824
2013-02-05;126.001737
2013-02-06;118.820539
2013-02-07;130.050284
2013-02-08;125.105597
2013-02-09;124.01303
2013-02-10;104.951973
2013-02-11;127.105017
2013-02-12;125.997835
2013-02-13;134.994264
2013-02-14;120.289536
2013-02-15;128.773519
2013-02-16;115.757589
2013-02-17;95.810269
2013-02-18;134.545172
2013-02-19;130.800471
2013-02-20;130.547068
2013-02-21;126.66054
2013-02-22;126.555544
2013-02-23;114.921124
2013-02-24;110.251975
2013-02-25;131.095388
2013-02-26;140.041175
2013-02-27;135.693749
2013-02-28;126.352028
2013-03-01;117.655228
2013-03-02;116.572554
2013-03-03;93.400298
2013-03-04;127.894285
2013-03-05;120.20765
2013-03-06;129.226097
2013-03-07;131.626814
2013-03-08;120.930954
2013-03-09;94.846281
2013-03-10;63.367625
2013-03-11;113.206291
